lemma,definition,type,llm_templates
waanadizi,"s/he is rich, has a lot of things",vai,"{'verbs': ['be', 'have'], 'templates': ['{{subject}} be rich', '{{subject}} have a lot of things']}"
nagaawebishkige,s/he applies the brakes,vai,"{'verbs': ['apply'], 'templates': ['{{subject}} apply the brakes']}"
ditibaagiwebishkige,s/he pedals a bicycle,vai,"{'verbs': ['pedal'], 'templates': ['{{subject}} pedal a bicycle']}"
waabishkawedoon,s/he has white whiskers,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have white whiskers']}"
gabedibikwe,s/he spends the whole night,vai,"{'verbs': ['spend'], 'templates': ['{{subject}} spend the whole night']}"
babiiwizhenyiwag,"they (animate) are small, are tiny",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be small', '{{subject}} be tiny']}"
ozhigwaazo,"it (animate) is sewn up, sewn into shape",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be sewn up', '{{subject}} be sewn into shape']}"
babaamibizo,"s/he speeds about, drives about, flies about",vai,"{'verbs': ['speed', 'drive', 'fly'], 'templates': ['{{subject}} speed about', '{{subject}} drive about', '{{subject}} fly about']}"
babiinitam,"s/he doesn't listen, doesn't follow instructions, disregards or disobers instructions",vai2,"{'verbs': ['listen', 'follow', 'disregard', 'disobey'], 'templates': [""{{subject}} doesn't listen"", ""{{subject}} doesn't follow instructions"", '{{subject}} disregards instructions', '{{subject}} disobeys instructions']}"
niiyogonendi,"s/he is gone four days, is absent four days",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be gone four days', '{{subject}} be absent four days']}"
gibibagizo,"s/he jumps in the way, moves quickly in the way",vai,"{'verbs': ['jump', 'move'], 'templates': ['{{subject}} jump in the way', '{{subject}} move quickly in the way']}"
nookizi,"s/he is soft, is tender",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be soft', '{{subject}} be tender']}"
zaagigaadeshin,s/he lies with a leg or legs sticking out,vai,"{'verbs': ['lie'], 'templates': ['{{subject}} lie with a leg or legs sticking out']}"
ziiwiskaabi,"s/he blinks, winks",vai,"{'verbs': ['blink', 'wink'], 'templates': ['{{subject}} blink', '{{subject}} wink']}"
mamadwezige,s/he is heard firing repeatedly,vai,"{'verbs': ['be', 'hear'], 'templates': ['{{subject}} be heard firing repeatedly', '(someone) hear {{object-intransitive}} firing repeatedly']}"
mookogidaazo,s/he cries from anger,vai,"{'verbs': ['cry'], 'templates': ['{{subject}} cry from anger']}"
baapi,s/he laughs,vai,"{'verbs': ['laugh'], 'templates': ['{{subject}} laugh']}"
ombatesewizide,s/he breaks out in a rash on h/ foot,vai,"{'verbs': ['break'], 'templates': [""{{subject}} break out in a rash on one's foot""]}"
okosijige,"s/he piles, stacks things",vai,"{'verbs': ['pile', 'stack'], 'templates': ['{{subject}} pile things', '{{subject}} stack things']}"
onaginzo,s/he or it (animate) has a price or value,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a price or value']}"
miiwizagimewe,"s/he can't stand the mosquitoes, is driven away by the mosquitoes",vai,"{'verbs': ['stand', 'be'], 'templates': [""{{subject}} can't stand the mosquitoes"", '{{subject}} be driven away by the mosquitoes']}"
daashkiboojige,s/he saws things apart lengthwise,vai,"{'verbs': ['saw'], 'templates': ['{{subject}} saw things apart lengthwise']}"
wiinjiigimaagozi,"s/he or it (animate) smells filthy, smells shitty",vai,"{'verbs': ['smell'], 'templates': ['{{subject}} smell filthy', '{{subject}} smell shitty']}"
ashi-bezhigonagizi,it is the eleventh (of the month),vai,"{'verbs': ['be'], 'templates': ['{{subject}} be the eleventh (of the month)']}"
miziweminagizi,"it (animate; something small and round) is whole, is in one piece",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be whole', '{{subject}} be in one piece']}"
gwayakogaabawi,"s/he stands straight,  has good posture",vai,"{'verbs': ['stand', 'have'], 'templates': ['{{subject}} stand straight', '{{subject}} have good posture']}"
minwewenaamo,h/ breathing sounds good,vai,"{'verbs': ['sound'], 'templates': ['{{subject}} breathing sounds good']}"
maajiiyaazhagaame,s/he starts off along the shore,vai,"{'verbs': ['start'], 'templates': ['{{subject}} start off along the shore']}"
biidweweshin,s/he is heard walking here,vai,"{'verbs': ['be', 'hear'], 'templates': ['{{subject}} be heard walking here', '(someone) hear {{object-intransitive}} walking here']}"
zoongiigizi,it (animate; sheet-like) is strong,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be strong']}"
debisewendam,"s/he feels satisfied, thinks there is enough",vai2,"{'verbs': ['feel', 'think'], 'templates': ['{{subject}} feel satisfied', '{{subject}} think there is enough']}"
mangaanibaajige,s/he shovels things,vai,"{'verbs': ['shovel'], 'templates': ['{{subject}} shovel things']}"
zesegwaabide'o,s/he picks h/ teeth,vai,"{'verbs': ['pick'], 'templates': [""{{subject}} pick one's teeth""]}"
nabagise,s/he or it (animate) goes flat suddenly,vai,"{'verbs': ['go'], 'templates': ['{{subject}} go flat suddenly']}"
gaagiijigaade,s/he has a sore leg,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a sore leg']}"
bakaaninaagozi,s/he looks different,vai,"{'verbs': ['look'], 'templates': ['{{subject}} look different']}"
gigabi,s/he sits with something,vai,"{'verbs': ['sit'], 'templates': ['{{subject}} sit with something']}"
animaazhagaame,s/he goes away (in the other direction) on the shore,vai,"{'verbs': ['go'], 'templates': ['{{subject}} go away (in the other direction) on the shore']}"
zhooshkozi,it (animate) is smooth,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be smooth']}"
nawadinidiwag,they grab each other,vai,"{'verbs': ['grab'], 'templates': ['{{subject}} grab each other']}"
zipwaangeni,s/he closes h/ wings,vai,"{'verbs': ['close'], 'templates': [""{{subject}} close one's wings""]}"
adaawangeshki,s/he always borrows,vai,"{'verbs': ['borrow'], 'templates': ['{{subject}} always borrow']}"
waabishkinaagozi,"s/he or it (animate) looks white, appears white",vai,"{'verbs': ['look', 'appear'], 'templates': ['{{subject}} look white', '{{subject}} appear white']}"
biinichige,s/he cleans things,vai,"{'verbs': ['clean'], 'templates': ['{{subject}} clean things']}"
bepeshizi,"s/he has stripes, lines",vai,"{'verbs': ['have'], 'templates': ['{{subject}} have stripes, lines']}"
beshidaamikaneshin,s/he gets or has a cut on h/ chin or jaw,vai,"{'verbs': ['get', 'have'], 'templates': [""{{subject}} get a cut on one's chin or jaw"", ""{{subject}} have a cut on one's chin or jaw""]}"
gizhaabikizige,s/he heats things (as something mineral),vai,"{'verbs': ['heat'], 'templates': ['{{subject}} heat things (as something mineral)']}"
ozhichige,"s/he makes, builds, forms things",vai,"{'verbs': ['make', 'build', 'form'], 'templates': ['{{subject}} make things', '{{subject}} build things', '{{subject}} form things']}"
zagapijigaazo,"it (animate) is tied on, towed, hitched (by someone), ""they"" tie on, hitch, tow it (animate)",vai,"{'verbs': ['be', 'tie', 'hitch', 'tow'], 'templates': ['{{subject}} be tied on, towed, hitched (by someone)', '(someone) tie on {{object-intransitive}}', '(someone) hitch {{object-intransitive}}', '(someone) tow {{object-intransitive}}']}"
akiiwi,"s/he or it (animate) is muddy, has earth or moss on h/ or it",vai,"{'verbs': ['be', 'have'], 'templates': ['{{subject}} be muddy', '{{subject}} have earth or moss on oneself or it']}"
agwaawebinige,"s/he throws things out of the water, throws things ashore",vai,"{'verbs': ['throw'], 'templates': ['{{subject}} throw things out of the water', '{{subject}} throw things ashore']}"
gashkiigabin,sit wrapped up in it (sheet-like),vai + o,"{'verbs': ['sit'], 'templates': ['{{subject}} sit wrapped up in it (sheet-like)']}"
dagwabi,s/he sits with others,vai,"{'verbs': ['sit'], 'templates': ['{{subject}} sit with others']}"
odisidiwag,they meet each other; they come to each other,vai,"{'verbs': ['meet', 'come'], 'templates': ['{{subject}} meet each other', '{{subject}} come to each other']}"
azhetaa,"s/he goes back, returns",vai,"{'verbs': ['go', 'return'], 'templates': ['{{subject}} go back', '{{subject}} return']}"
jiikendam,s/he feels happy,vai2,"{'verbs': ['feel'], 'templates': ['{{subject}} feel happy']}"
animweweyaadagaa,s/he is heard swimming away [in the other direction],vai,"{'verbs': ['be', 'hear'], 'templates': ['{{subject}} be heard swimming away [in the other direction]', '(someone) hear {{object-intransitive}} swimming away [in the other direction]']}"
basikawe,s/he kicks something up,vai,"{'verbs': ['kick'], 'templates': ['{{subject}} kick something up']}"
meshkwadoonige,"s/he trades things, exchanges things",vai,"{'verbs': ['trade', 'exchange'], 'templates': ['{{subject}} trade things', '{{subject}} exchange things']}"
inaabajichige,s/he uses things a certain way,vai,"{'verbs': ['use'], 'templates': ['{{subject}} use things a certain way']}"
naazhaatenige,s/he shines the light lower,vai,"{'verbs': ['shine'], 'templates': ['{{subject}} shine the light lower']}"
miijinidizo,s/he shits h/ self,vai,"{'verbs': ['shit'], 'templates': ['{{subject}} shit oneself']}"
agaasibii'ige,s/he writes small,vai,"{'verbs': ['write'], 'templates': ['{{subject}} write small']}"
ozhaashibizo,"s/he speeds sliding or slipping, skids",vai,"{'verbs': ['speed', 'skid'], 'templates': ['{{subject}} speed sliding or slipping', '{{subject}} skid']}"
gwayakomaagozi,s/he smells right,vai,"{'verbs': ['smell'], 'templates': ['{{subject}} smell right']}"
magwaagoneshin,"s/he lies covered with snow, is covered with snow (so only h/ shape or contour can be seen)",vai,"{'verbs': ['lie', 'be'], 'templates': ['{{subject}} lie covered with snow', ""{{subject}} be covered with snow (so only one's shape or contour can be seen)""]}"
miskwiiwigaade,s/he has bloody leg,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have bloody leg']}"
ozhaashizi,"it (animate) is slippery, is slick",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be slippery', '{{subject}} be slick']}"
jiigeweyaadagaa,s/he swims along the shore,vai,"{'verbs': ['swim'], 'templates': ['{{subject}} swim along the shore']}"
babizindaadiwag,they keep listening to each other,vai,"{'verbs': ['keep', 'listen'], 'templates': ['(someone) keep {{object-intransitive}} listening to each other']}"
babigwaabikizi,"it (animate; mineral) is bumpy, is lumpy",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be bumpy', '{{subject}} be lumpy']}"
gwiinobii,s/he is unable to find a drink,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be unable to find a drink']}"
aakozi,"s/he is sick, is ill",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be sick', '{{subject}} be ill']}"
omigijaane,"s/he has a sore or sores, a scab or scabs on h/ nose",vai,"{'verbs': ['have'], 'templates': [""{{subject}} have a sore or sores, a scab or scabs on one's nose""]}"
dazhinjigaazo,"s/he is talked, gossiped about (by someone), ""they"" talk, gossip about h/",vai,"{'verbs': ['be', 'talk', 'gossip'], 'templates': ['{{subject}} be talked, gossiped about (by someone)', '(someone) talk about {{object-intransitive}}', '(someone) gossip about {{object-intransitive}}']}"
bootaage,"s/he stamps things in a mortar (e.g., wild rice)",vai,"{'verbs': ['stamp'], 'templates': ['{{subject}} stamp things in a mortar (e.g., wild rice)']}"
amwaagone,s/he eats snow,vai,"{'verbs': ['eat'], 'templates': ['{{subject}} eat snow']}"
maadashkime,s/he starts weaving snowshoe webbing,vai,"{'verbs': ['start'], 'templates': ['{{subject}} start weaving snowshoe webbing']}"
nabagaanowe,s/he (an animal) has a flat tail,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a flat tail']}"
makadewegizi,"it (animate; sheet-like) is dark, is black",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be dark', '{{subject}} be black']}"
gaandakii'o,s/he poles a boat,vai,"{'verbs': ['pole'], 'templates': ['{{subject}} pole a boat']}"
baataniinowag,"they are many, there are many of them",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be many', 'there be many of {{object-intransitive}}']}"
debwetaagozi,"s/he is believable,  is believed",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be believable', '{{subject}} be believed']}"
danademo,"s/he cries, weeps in a certain place",vai,"{'verbs': ['cry', 'weep'], 'templates': ['{{subject}} cry in a certain place', '{{subject}} weep in a certain place']}"
bookwaabide,"s/he has a broken tooth or had broken teeth, breaks h/ tooth or teeth",vai,"{'verbs': ['have', 'break'], 'templates': ['{{subject}} have a broken tooth or had broken teeth', ""{{subject}} break one's tooth or teeth""]}"
mimigwaakosijige,s/he scrubs something on a washboard,vai,"{'verbs': ['scrub'], 'templates': ['{{subject}} scrub something on a washboard']}"
apiisinaagozi,s/he or it (animate) is visible at a certain distance,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be visible at a certain distance']}"
babaamanokii,s/he works around,vai,"{'verbs': ['work'], 'templates': ['{{subject}} work around']}"
gwayakwa'amii,s/he walks straight,vai,"{'verbs': ['walk'], 'templates': ['{{subject}} walk straight']}"
giziibiiga'igaazo,"s/he is washed (by someone), ""they"" wash h/",vai,"{'verbs': ['be', 'wash'], 'templates': ['{{subject}} be washed (by someone)', '(someone) wash {{object-intransitive}}']}"
gopa'o,s/he paddles upstream,vai,"{'verbs': ['paddle'], 'templates': ['{{subject}} paddle upstream']}"
jiikitaagozi,"s/he really sounds good, is a pleasure to listen to",vai,"{'verbs': ['sound', 'be'], 'templates': ['{{subject}} really sound good', '{{subject}} be a pleasure to listen to']}"
wiinisagishkige,s/he gets the floor dirty walking on it,vai,"{'verbs': ['get'], 'templates': ['{{subject}} get the floor dirty walking on it']}"
akwaabiigizhigaazo,"it (animate; string-like) is cut to a certain length (by someone), ""they"" cut it (animate; string-like) to a certain length",vai,"{'verbs': ['be', 'cut'], 'templates': ['{{subject}} be cut to a certain length (by someone)', '(someone) cut {{object-intransitive}} to a certain length']}"
washkigaabawi,s/he turns while standing,vai,"{'verbs': ['turn'], 'templates': ['{{subject}} turn while standing']}"
miidingwaam,s/he dirties the bed,vai,"{'verbs': ['dirty'], 'templates': ['{{subject}} dirty the bed']}"
zhooshkobizo,"s/he or it (animate) slides, slips",vai,"{'verbs': ['slide', 'slip'], 'templates': ['{{subject}} slide', '{{subject}} slip']}"
gashkendam,"s/he is lonely, is lonesome, is sad",vai2,"{'verbs': ['be'], 'templates': ['{{subject}} be lonely', '{{subject}} be lonesome', '{{subject}} be sad']}"
makandiwag,"they take (it) from each other (forcibly), rob each other (of it)",vai,"{'verbs': ['take', 'rob'], 'templates': ['(someone) take {{object-intransitive}} from each other (forcibly)', '(someone) rob each other (of {{object-intransitive}})']}"
babaamiwane,s/he carries a pack about,vai,"{'verbs': ['carry'], 'templates': ['{{subject}} carry a pack about']}"
debaabaminaagozi,"s/he is in sight, is visible at a distance",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be in sight', '{{subject}} be visible at a distance']}"
zanagi'idiwag,"they make each other do something difficult; they make things difficult, hard for each other, give each other a hard time",vai,"{'verbs': ['make'], 'templates': ['{{subject}} make each other do something difficult', '{{subject}} make things difficult, hard for each other', '{{subject}} give each other a hard time']}"
biidweweyaadagaa,s/he is heard swimming here,vai,"{'verbs': ['be', 'hear'], 'templates': ['{{subject}} be heard swimming here', '(someone) hear {{object-intransitive}} swimming here']}"
oninamaa,s/he looks for a place to sleep; s/he gets ready for bed,vai,"{'verbs': ['look', 'get'], 'templates': ['{{subject}} look for a place to sleep', '{{subject}} get ready for bed']}"
ginagijaane,h/ nose itches,vai,"{'verbs': ['itch'], 'templates': [""{{subject}}'s nose itch""]}"
moojigizi,"s/he is happy, is joyous, is glad, has a good time",vai,"{'verbs': ['be', 'have'], 'templates': ['{{subject}} be happy', '{{subject}} be joyous', '{{subject}} be glad', '{{subject}} have a good time']}"
giiweba'igo,"s/he rides home, drives home (drawn by horse or dog)",vai,"{'verbs': ['ride', 'drive'], 'templates': ['{{subject}} ride home', '{{subject}} drive home (drawn by horse or dog)']}"
naadaabaso,"s/he follows, is attracted by the aroma",vai,"{'verbs': ['follow', 'be'], 'templates': ['{{subject}} follow', '{{subject}} be attracted by the aroma']}"
danwewega'ige,s/he is heard chopping in a certain place,vai,"{'verbs': ['be', 'hear'], 'templates': ['{{subject}} be heard chopping in a certain place', '(someone) hear {{object-intransitive}} chopping in a certain place']}"
wiinaabiigizi,it (animate; string-like) is dirty ; s/he is dirty (as if s/he has with strings of dirt on h/),vai,"{'verbs': ['be'], 'templates': ['{{subject}} be dirty', '{{subject}} be dirty (as if {{subject}} has with strings of dirt on oneself)']}"
ziigimineshin,"s/he falls and spills berries, rice, or grain",vai,"{'verbs': ['fall', 'spill'], 'templates': ['{{subject}} fall and spill berries, rice, or grain']}"
wiisagipogozi,"it (animate) tastes bitter, tastes spicy",vai,"{'verbs': ['taste'], 'templates': ['{{subject}} taste bitter', '{{subject}} taste spicy']}"
onzaamichige,s/he overdoes things,vai,"{'verbs': ['overdo'], 'templates': ['{{subject}} overdo things']}"
animoshikaazo,s/he pretends to be a dog,vai,"{'verbs': ['pretend'], 'templates': ['{{subject}} pretend to be a dog']}"
adisige,"s/he dyes, colors things",vai,"{'verbs': ['dye', 'color'], 'templates': ['{{subject}} dye things', '{{subject}} color things']}"
gimoojimiijime,s/he steals food,vai,"{'verbs': ['steal'], 'templates': ['{{subject}} steal food']}"
agazondiwag,they speak and embarrass each other,vai,"{'verbs': ['speak', 'embarrass'], 'templates': ['{{subject}} speak and embarrass each other']}"
biimigwaaso,s/he sews things crooked,vai,"{'verbs': ['sew'], 'templates': ['{{subject}} sew things crooked']}"
awasewebizo,s/he drives out of view around something,vai,"{'verbs': ['drive'], 'templates': ['{{subject}} drive out of view around something']}"
bagamoode,s/he arrives crawling,vai,"{'verbs': ['arrive'], 'templates': ['{{subject}} arrive crawling']}"
bedawinzo,s/he picks berries slowly,vai,"{'verbs': ['pick'], 'templates': ['{{subject}} pick berries slowly']}"
aanjibabiinzikawaagane,"s/he puts on another coat, changes h/ coat",vai,"{'verbs': ['put', 'change'], 'templates': ['{{subject}} put on another coat', ""{{subject}} change one's coat""]}"
mookawaakii,s/he cries to go along,vai,"{'verbs': ['cry'], 'templates': ['{{subject}} cry to go along']}"
gaawegizi,it (animate; sheet-like) is rough,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be rough']}"
ayekozide,s/he has tired feet,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have tired feet']}"
baasiminaanike,s/he dries berries,vai,"{'verbs': ['dry'], 'templates': ['{{subject}} dry berries']}"
ayagaasininjii,s/he has small hands,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have small hands']}"
apani'o,"s/he makes a quick move there, makes a quick change of position (as in dancing)",vai,"{'verbs': ['make'], 'templates': ['{{subject}} make a quick move there', '{{subject}} make a quick change of position (as in dancing)']}"
biinaabaawe,s/he or it (animate) is washed off clean,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be washed off clean']}"
giiwewijige,"s/he carries, takes things home",vai,"{'verbs': ['carry', 'take'], 'templates': ['{{subject}} carry things home', '{{subject}} take things home']}"
omigiingwe,"s/he has a sore or sores, a scab or scabs on h/ face",vai,"{'verbs': ['have'], 'templates': [""{{subject}} have a sore or sores, a scab or scabs on one's face""]}"
bangisidaabii,"s/he drops h/ load, drops something from h/ load",vai,"{'verbs': ['drop'], 'templates': [""{{subject}} drop one's load"", ""{{subject}} drop something from one's load""]}"
nishkanokii,"s/he gets angry working, gets mad working",vai,"{'verbs': ['get'], 'templates': ['{{subject}} get angry working', '{{subject}} get mad working']}"
bakaanitaagozi,s/he sounds different,vai,"{'verbs': ['sound'], 'templates': ['{{subject}} sound different']}"
danataadiwag,they bet with each other in a certain place; they play cards in a certain place,vai,"{'verbs': ['bet', 'play'], 'templates': ['{{subject}} bet with each other in a certain place', '{{subject}} play cards in a certain place']}"
boona'amaazo,s/he stops singing,vai,"{'verbs': ['stop'], 'templates': ['{{subject}} stop singing']}"
babaamose,"s/he walks about, takes a stroll",vai,"{'verbs': ['walk', 'take'], 'templates': ['{{subject}} walk about', '{{subject}} take a stroll']}"
abizodizo,s/he warms h/ self at the fire or stove,vai,"{'verbs': ['warm'], 'templates': ['{{subject}} warm oneself at the fire or stove']}"
bimweweyaadagaa,h/ is heard swimming along,vai,"{'verbs': ['be', 'hear'], 'templates': ['{{subject}} be heard swimming along', '(someone) hear {{object-intransitive}} swimming along']}"
baashkimaagozi,s/he suddenly gives off a smell,vai,"{'verbs': ['give'], 'templates': ['{{subject}} give off a smell']}"
ondaazakonenjige,s/he comes from a certain place with a light,vai,"{'verbs': ['come'], 'templates': ['{{subject}} come from a certain place with a light']}"
gizhibaanikebani'o,s/he twirls h/ arm or arms fast,vai,"{'verbs': ['twirl'], 'templates': [""{{subject}} twirl one's arm or arms fast""]}"
dewijaane,h/ nose aches,vai,"{'verbs': ['ache'], 'templates': [""{{subject}}'s nose ache""]}"
bapagwegishkaa,"it (animate; sheet-like) has holes, gets holes (in it)",vai,"{'verbs': ['have', 'get'], 'templates': ['{{subject}} have holes', '{{subject}} get holes (in it)']}"
boozininjaagen,use (it) to grease you hand or hands,vai + o,"{'verbs': ['use'], 'templates': [""{{subject}} use (it) to grease one's hand or hands""]}"
ozaawizi,"s/he or it (animate) is yellow, is brown",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be yellow', '{{subject}} be brown']}"
bimaagime,"s/he snowshoes along or by, goes snowshoeing",vai,"{'verbs': ['snowshoe', 'go'], 'templates': ['{{subject}} snowshoe along or by', '{{subject}} go snowshoeing']}"
zhegoninjiini,s/he sticks a hand in a tight place,vai,"{'verbs': ['stick'], 'templates': ['{{subject}} stick a hand in a tight place']}"
nishkaajiingweni,s/he makes an angry face,vai,"{'verbs': ['make'], 'templates': ['{{subject}} make an angry face']}"
abweninjii,s/he has a sweaty hand,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a sweaty hand']}"
baashkizodizo,s/he shoots h/ self,vai,"{'verbs': ['shoot'], 'templates': ['{{subject}} shoot oneself']}"
mizizi,s/he catches a disease; s/he starts to get sick,vai,"{'verbs': ['catch', 'get'], 'templates': ['{{subject}} catch a disease', '{{subject}} get sick']}"
maakishin,s/he is injured by falling or by hitting against something,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be injured by falling or by hitting against something']}"
onibiimi,s/he has water,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have water']}"
zhaaganaashiiwinikaazo,"s/he has an English name, is called in English",vai,"{'verbs': ['have', 'be'], 'templates': ['{{subject}} have an english name', '{{subject}} be called in english']}"
nibaa,"s/he sleeps, is asleep",vai,"{'verbs': ['sleep', 'be'], 'templates': ['{{subject}} sleep', '{{subject}} be asleep']}"
